"","n","k","normality","sphericity","hypothesis","p","BF","mauchly","mardia","eta"
"1",15,3,TRUE,TRUE,"H0",0.864,0.183068283018935,0.096,0.971585480093561,0.006
"2",45,3,TRUE,TRUE,"H0",0.654,0.107213320843542,0.288,0.998286894335144,0.006
"3",150,3,TRUE,TRUE,"H0",0.291,0.0943238791708858,0.936,0.396730731918917,0.006
"4",15,3,FALSE,TRUE,"H0",0.094,1.42316435386102,0.357,0.897031623338871,0.116
"5",45,3,FALSE,TRUE,"H0",0.897,0.0793441906509911,0.808,0.0455277600652605,0.002
"6",150,3,FALSE,TRUE,"H0",0.636,0.0395694279131079,0.461,3.90394605531696e-10,0.002
"7",15,3,TRUE,FALSE,"H0",0.689,0.211670456681343,0.332,0.717536480716477,0.004
"8",45,3,TRUE,FALSE,"H0",0.29,0.209409110876893,0.008,0.937954458190642,0.013
"9",150,3,TRUE,FALSE,"H0",0.653,0.036362915264263,0.000516,0.630639909228787,0.001
"10",15,3,TRUE,TRUE,"Ha",0.002,57.3942838662375,0.846,0.896420089671614,0.269
"11",45,3,TRUE,TRUE,"Ha",0.091,0.858231767923984,0.848,0.996780706621096,0.04
"12",150,3,TRUE,TRUE,"Ha",1.36e-08,5153709.07489657,0.507,0.830637351729242,0.079
"13",15,3,FALSE,TRUE,"Ha",0.186,0.613199333803436,0.01,0.97786629098238,0.062
"14",45,3,FALSE,TRUE,"Ha",0.007,9.79664498572765,0.673,0.0151181225242917,0.072
"15",150,3,FALSE,TRUE,"Ha",0.00079,41.8220278740742,0.552,9.51420475736597e-09,0.032
"16",15,3,TRUE,FALSE,"Ha",0.196,0.534832891120397,0.145,0.983027452175306,0.04
"17",45,3,TRUE,FALSE,"Ha",0.002,18.2304503374371,0.036,0.733663753714392,0.062
"18",150,3,TRUE,FALSE,"Ha",2.66e-12,2952039471.88355,2.74e-05,0.143498483504861,0.073
"19",15,3,TRUE,TRUE,"H0",0.907,0.181719220720623,0.378,0.839561062772332,0.006
"20",45,3,TRUE,TRUE,"H0",0.389,0.16975574019998,0.2,0.94975584290961,0.013
"21",150,3,TRUE,TRUE,"H0",0.576,0.0436069809638964,0.308,0.747156366692254,0.002
